"X.."	"X.logFC."	"X.logCPM."	"X.LR."	"X.PValue."	"X.FDR."	"Mouse"	"Human"	"Drosophila"	"Aplysia.clifornica"	"Saccoglossus.kowalevskii"	"Cluster"
"PladumEVm074681"	"PladumEVm074681"	-1.85525299899607	0.060394097063	9.20873164347344	0.00240863513223047	0.0329762158640284	"."	"."	"."	"."	"."	0
"PladumEVm010955"	"PladumEVm010955"	-1.05053081822791	2.388279808734	9.20564372773505	0.00241270140642061	0.0330058459057862	"sp|Q8BUV8|GP107_MOUSE Protein GPR107 OS=Mus musculus OX=10090 GN=Gpr107 PE=1 SV=2"	"XP_016870442.1 protein GPR107 isoform X1 [Homo sapiens]"	"gi|24640781|ref|NP_572545.1| uncharacterized protein Dmel_CG12121 [Drosophila melanogaster]"	"XP_012941569.1 protein GPR107 [Aplysia californica]"	"XP_006819044.1 PREDICTED: protein GPR107-like [Saccoglossus kowalevskii]"	6
"PladumEVm025476"	"PladumEVm025476"	-1.58075701759054	1.24053769165569	9.20493674199146	0.00241363336928028	0.0330058459057862	"sp|Q64739|COBA2_MOUSE Collagen alpha-2(XI) chain OS=Mus musculus OX=10090 GN=Col11a2 PE=2 SV=3"	"XP_011526344.1 collagen alpha-3(V) chain isoform X1 [Homo sapiens]"	"gi|24581820|ref|NP_723044.1| collagen type IV, isoform A [Drosophila melanogaster]"	"XP_012935509.1 collagen alpha-1(I) chain [Aplysia californica]"	"XP_006812872.1 PREDICTED: collagen alpha-1(XI) chain-like [Saccoglossus kowalevskii]"	1
"PladumEVm004372"	"PladumEVm004372"	-1.57993306525033	0.084429645477446	9.20184355659896	0.00241771516603255	0.0330487285547775	"tr|H3BKD0|H3BKD0_MOUSE Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1"	"XP_016870158.1 heterogeneous nuclear ribonucleoprotein K isoform X4 [Homo sapiens]"	"gi|45552763|ref|NP_995906.1| heterogeneous nuclear ribonucleoprotein K, isoform C [Drosophila melanogaster]"	"XP_035829694.1 heterogeneous nuclear ribonucleoprotein K isoform X7 [Aplysia californica]"	"XP_006822105.1 PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like, partial [Saccoglossus kowalevskii]"	1
"PladumEVm109706"	"PladumEVm109706"	-2.3460917736444	5.24383452480972	9.18906756752563	0.00243464883607515	0.0332411862773073	"."	"."	"."	"."	"."	6
"PladumEVm082400"	"PladumEVm082400"	-2.1168915217628	-0.0343398430491617	9.17859446085383	0.0024486199394678	0.0334188797129162	"."	"."	"."	"."	"."	0
"PladumEVm119190"	"PladumEVm119190"	-1.68370571806218	1.37690967314351	9.17633711677371	0.00245164187430256	0.0334357018164165	"."	"."	"."	"."	"."	0
"PladumEVm094514"	"PladumEVm094514"	-1.59271501876157	1.34180352875585	9.17308106626298	0.00245600745823423	0.0334674120839492	"."	"."	"."	"."	"."	0
"PladumEVm011475"	"PladumEVm011475"	1.90220998601241	1.20272314532616	9.16022164186379	0.00247332611185615	0.0336527572851461	"sp|Q9JJZ4|UB2J1_MOUSE Ubiquitin-conjugating enzyme E2 J1 OS=Mus musculus OX=10090 GN=Ube2j1 PE=1 SV=2"	"XP_011534190.1 ubiquitin-conjugating enzyme E2 J1 isoform X2 [Homo sapiens]"	"gi|21358599|ref|NP_650631.1| CG5823, isoform A [Drosophila melanogaster]"	"XP_005104699.1 uncharacterized protein LOC101851521 [Aplysia californica]"	"XP_002734931.1 PREDICTED: ubiquitin-conjugating enzyme E2 J1-like [Saccoglossus kowalevskii]"	0
"PladumEVm070065"	"PladumEVm070065"	4.76390452692914	-0.196216020624232	9.15997296228585	0.00247366224418799	0.0336527572851461	"tr|D3Z518|D3Z518_MOUSE Expressed sequence AW551984 (Fragment) OS=Mus musculus OX=10090 GN=AW551984 PE=1 SV=1"	"NP_938057.1 von Willebrand factor A domain-containing protein 5A isoform 2 [Homo sapiens]"	"."	"XP_012936925.2 protein mono-ADP-ribosyltransferase PARP4, partial [Aplysia californica]"	"XP_006818703.1 PREDICTED: poly [ADP-ribose] polymerase 4-like [Saccoglossus kowalevskii]"	0
"PladumEVm104853"	"PladumEVm104853"	3.22300634819121	0.235584775154611	9.15868843553724	0.00247539923678492	0.0336527572851461	"."	"."	"."	"."	"."	2
"PladumEVm023217"	"PladumEVm023217"	1.2114922482121	1.59529412207163	9.15390742164797	0.00248187521547033	0.0337016082989964	"tr|A2AM78|A2AM78_MOUSE Serine/threonine-protein kinase PINK1, mitochondrial OS=Mus musculus OX=10090 GN=Pink1 PE=1 SV=1"	"NP_115785.1 serine/threonine-protein kinase PINK1, mitochondrial precursor [Homo sapiens]"	"gi|24640183|ref|NP_572340.2| PTEN-induced putative kinase 1, isoform A [Drosophila melanogaster]"	"XP_005101164.1 serine/threonine-protein kinase PINK1, mitochondrial [Aplysia californica]"	"XP_006819724.1 PREDICTED: uncharacterized protein LOC102809770 [Saccoglossus kowalevskii]"	8
"PladumEVm031036"	"PladumEVm031036"	2.05796188805376	0.111897335721982	9.15242697757205	0.00248388399088096	0.0337157819570279	"."	"."	"."	"XP_005101436.1 uncharacterized protein F54H12.2-like [Aplysia californica]"	"XP_006813063.1 PREDICTED: uncharacterized protein LOC100370495 [Saccoglossus kowalevskii]"	0
"PladumEVm029466"	"PladumEVm029466"	1.30277023869994	0.831541279212738	9.14908937635147	0.00248841874918302	0.0337511112879292	"sp|Q9D939|ST1C2_MOUSE Sulfotransferase 1C2 OS=Mus musculus OX=10090 GN=Sult1c2 PE=1 SV=1"	"NP_006579.2 sulfotransferase 1C4 isoform 1 [Homo sapiens]"	"gi|24645281|ref|NP_649870.1| sulfotransferase 2, isoform A [Drosophila melanogaster]"	"XP_005109747.1 sulfotransferase family cytosolic 1B member 1 isoform X1 [Aplysia californica]"	"NP_001161505.1 aryl sulfotransferase [Saccoglossus kowalevskii]"	1
"PladumEVm026154"	"PladumEVm026154"	2.53798903000169	2.34650844563522	9.14820401853809	0.00248962308354462	0.0337515334906145	"sp|O35490|BHMT1_MOUSE Betaine--homocysteine S-methyltransferase 1 OS=Mus musculus OX=10090 GN=Bhmt PE=1 SV=1"	"NP_001704.2 betaine--homocysteine S-methyltransferase 1 [Homo sapiens]"	"."	"XP_005108478.2 betaine--homocysteine S-methyltransferase 1 [Aplysia californica]"	"XP_006823591.1 PREDICTED: betaine--homocysteine S-methyltransferase 1-like [Saccoglossus kowalevskii]"	0
"PladumEVm001321"	"PladumEVm001321"	1.00475670791612	2.5135892554626	9.1476464003877	0.00249038190385541	0.0337515334906145	"sp|Q8K259|GIN1_MOUSE Gypsy retrotransposon integrase-like protein 1 OS=Mus musculus OX=10090 GN=Gin1 PE=2 SV=2"	"NP_001128360.1 retrotransposon-like protein 1 [Homo sapiens]"	"."	"XP_012936936.1 uncharacterized protein K02A2.6-like [Aplysia californica]"	"XP_002732475.1 PREDICTED: uncharacterized protein K02A2.6-like [Saccoglossus kowalevskii]"	0
"PladumEVm041545"	"PladumEVm041545"	1.8629739383654	1.60360872020041	9.14630497121492	0.0024922083149113	0.0337631897303939	"."	"."	"."	"XP_005100511.2 uncharacterized protein LOC101852099 [Aplysia californica]"	"."	8
"PladumEVm056999"	"PladumEVm056999"	1.43070847599479	5.89197830956157	9.12687316883211	0.00251881851499286	0.0340550701001823	"."	"."	"."	"."	"."	6
"PladumEVm007454"	"PladumEVm007454"	-1.07103313937057	1.64989825291498	9.12630457558539	0.0025196014828407	0.0340550701001823	"."	"."	"."	"."	"."	0
"PladumEVm014613"	"PladumEVm014613"	1.05449928437399	0.726121874875377	9.10813191205968	0.002544756265236	0.0343419231947008	"tr|A2ARX0|A2ARX0_MOUSE Predicted gene 14443 OS=Mus musculus OX=10090 GN=Gm14443 PE=4 SV=1"	"XP_011533134.1 zinc finger protein 84 isoform X1 [Homo sapiens]"	"gi|17137356|ref|NP_477245.1| crooked legs, isoform B [Drosophila melanogaster]"	"XP_005101470.3 zinc finger protein 493-like [Aplysia californica]"	"XP_006820770.1 PREDICTED: zinc finger protein 850-like, partial [Saccoglossus kowalevskii]"	0
"PladumEVm013643"	"PladumEVm013643"	-1.58597746385786	1.1225237418354	9.10607577217292	0.00254761840034559	0.0343551449825676	"sp|P11369|LORF2_MOUSE LINE-1 retrotransposable element ORF2 protein OS=Mus musculus OX=10090 GN=Pol PE=1 SV=2"	"."	"."	"XP_035828437.1 uncharacterized protein LOC106013237 isoform X2 [Aplysia californica]"	"XP_006825930.1 PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Saccoglossus kowalevskii]"	11
"PladumEVm005063"	"PladumEVm005063"	1.32835588556671	0.350374435038174	9.10435062976717	0.0025500223094865	0.0343731595181902	"sp|Q80YR6|CTIP_MOUSE DNA endonuclease RBBP8 OS=Mus musculus OX=10090 GN=Rbbp8 PE=1 SV=1"	"XP_005258383.1 DNA endonuclease RBBP8 isoform X4 [Homo sapiens]"	"."	"XP_005107975.1 uncharacterized protein LOC101854667 [Aplysia californica]"	"XP_002731259.1 PREDICTED: uncharacterized protein LOC100375656, partial [Saccoglossus kowalevskii]"	0
"PladumEVm010280"	"PladumEVm010280"	-1.74749293464375	2.41896608226794	9.10230028031859	0.00255288237469259	0.0343851801423995	"sp|O08762|NETR_MOUSE Neurotrypsin OS=Mus musculus OX=10090 GN=Prss12 PE=1 SV=1"	"XP_011530689.1 neurotrypsin isoform X1 [Homo sapiens]"	"gi|24661363|ref|NP_729451.1| tequila, isoform D [Drosophila melanogaster]"	"XP_012940312.2 uncharacterized protein LOC101853653 [Aplysia californica]"	"XP_006819777.1 PREDICTED: neuropilin-1a-like [Saccoglossus kowalevskii]"	3
"PladumEVm013242"	"PladumEVm013242"	-2.03034635781845	0.85335360584887	9.09701061575123	0.00256027605740362	0.0344714779073699	"."	"NP_000207.2 anosmin-1 precursor [Homo sapiens]"	"gi|45550809|ref|NP_651220.3| kallmann syndrome 1 ortholog [Drosophila melanogaster]"	"XP_012944532.1 anosmin-1 [Aplysia californica]"	"XP_006817944.1 PREDICTED: anosmin-1-like [Saccoglossus kowalevskii]"	7
"PladumEVm032455"	"PladumEVm032455"	1.80939900560542	0.0938627635213511	9.09149139944956	0.00256801377135005	0.0345623394288133	"sp|P11369|LORF2_MOUSE LINE-1 retrotransposable element ORF2 protein OS=Mus musculus OX=10090 GN=Pol PE=1 SV=2"	"."	"."	"XP_005102894.1 uncharacterized protein LOC101847595 [Aplysia californica]"	"XP_006825930.1 PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Saccoglossus kowalevskii]"	5
"PladumEVm093936"	"PladumEVm093936"	-2.20970793812307	-0.325522268038665	9.08931047518459	0.00257107787657521	0.0345902541123069	"."	"."	"."	"."	"."	0
"PladumEVm061818"	"PladumEVm061818"	2.0309806791019	10.8620873871199	9.08748697776781	0.00257364266085389	0.0345998110936741	"sp|P47226|TES_MOUSE Testin OS=Mus musculus OX=10090 GN=Tes PE=1 SV=1"	"."	"."	"."	"."	1
"PladumEVm044347"	"PladumEVm044347"	-2.69330477457418	-0.893588734751477	9.08739732469015	0.00257376882659661	0.0345998110936741	"."	"."	"."	"."	"."	7
"PladumEVm018267"	"PladumEVm018267"	1.39265913339522	2.29404130702945	9.07204357565968	0.00259546850813769	0.0348512967739519	"sp|Q9D379|HYEP_MOUSE Epoxide hydrolase 1 OS=Mus musculus OX=10090 GN=Ephx1 PE=1 SV=2"	"NP_001365356.1 epoxide hydrolase 1 isoform a precursor [Homo sapiens]"	"gi|24655327|ref|NP_611386.2| juvenile hormone epoxide hydrolase 2, isoform A [Drosophila melanogaster]"	"XP_035825674.1 proline iminopeptidase isoform X3 [Aplysia californica]"	"XP_002740928.1 PREDICTED: epoxide hydrolase 1-like [Saccoglossus kowalevskii]"	3
"PladumEVm079733"	"PladumEVm079733"	1.06016976080321	3.2635660240962	9.06473902355286	0.002605857243522	0.0349773516063831	"sp|Q5RKS2|SMIM7_MOUSE Small integral membrane protein 7 OS=Mus musculus OX=10090 GN=Smim7 PE=3 SV=1"	"NP_077009.2 small integral membrane protein 7 isoform 2 precursor [Homo sapiens]"	"."	"XP_012942141.1 protein SMIM7 homolog isoform X3 [Aplysia californica]"	"XP_006813545.1 PREDICTED: small integral membrane protein 7-like [Saccoglossus kowalevskii]"	2
"PladumEVm012585"	"PladumEVm012585"	-1.34872589420202	1.2488150109594	9.06008712617238	0.00261249529157756	0.0350260832664729	"."	"."	"."	"."	"."	5
"PladumEVm029695"	"PladumEVm029695"	1.45476729868117	0.576011590054799	9.0526069969758	0.0026232051117065	0.035142700689384	"sp|Q8R1B8|RORB_MOUSE Nuclear receptor ROR-beta OS=Mus musculus OX=10090 GN=Rorb PE=1 SV=3"	"XP_016877955.1 nuclear receptor ROR-alpha isoform X5 [Homo sapiens]"	"gi|161076500|ref|NP_001097256.1| hormone receptor-like in 46, isoform D [Drosophila melanogaster]"	"XP_005105614.2 probable serine/threonine-protein kinase DDB_G0282963 [Aplysia californica]"	"XP_006823929.1 PREDICTED: nuclear receptor subfamily 1 group D member 2-like [Saccoglossus kowalevskii]"	0
"PladumEVm032003"	"PladumEVm032003"	1.46814612954658	1.2923040987987	9.05119777695351	0.00262522777373941	0.0351563178178157	"."	"."	"."	"."	"."	0
"PladumEVm035373"	"PladumEVm035373"	-1.77824657188237	0.168336205701317	9.03621218438281	0.00264683487397622	0.035418523041691	"sp|P70211|DCC_MOUSE Netrin receptor DCC OS=Mus musculus OX=10090 GN=Dcc PE=1 SV=2"	"XP_016881058.1 netrin receptor DCC isoform X3 [Homo sapiens]"	"gi|24653090|ref|NP_725185.1| frazzled, isoform B [Drosophila melanogaster]"	"NP_001297427.1 neogenin-like [Aplysia californica]"	"NP_001164709.1 neogenin [Saccoglossus kowalevskii]"	7
"PladumEVm018240"	"PladumEVm018240"	1.33296700119589	0.415558991528483	9.02838975778418	0.00265818533430654	0.0355249467280319	"sp|Q8C2R7|PIGM_MOUSE GPI mannosyltransferase 1 OS=Mus musculus OX=10090 GN=Pigm PE=2 SV=2"	"NP_660150.1 GPI mannosyltransferase 1 [Homo sapiens]"	"gi|19922698|ref|NP_611600.1| CG9865, isoform A [Drosophila melanogaster]"	"XP_035826826.1 GPI mannosyltransferase 1 isoform X2 [Aplysia californica]"	"XP_002730814.1 PREDICTED: GPI mannosyltransferase 1-like [Saccoglossus kowalevskii]"	0
"PladumEVm039347"	"PladumEVm039347"	1.57365276734067	1.11996325846381	9.02780130242902	0.00265904118790082	0.0355249467280319	"tr|E9Q4D4|E9Q4D4_MOUSE Polycystic kidney disease protein 1-like 2 OS=Mus musculus OX=10090 GN=Pkd1l2 PE=3 SV=2"	"."	"."	"XP_005109201.2 uncharacterized protein LOC101863218 [Aplysia californica]"	"."	1
"PladumEVm028874"	"PladumEVm028874"	1.16959195704065	2.89098647337183	9.02728528511053	0.00265979191732187	0.0355249467280319	"tr|A0A087WSB9|A0A087WSB9_MOUSE Membrane-spanning 4-domains, subfamily A, member 12 OS=Mus musculus OX=10090 GN=Ms4a12 PE=3 SV=1"	"XP_011543419.1 membrane-spanning 4-domains subfamily A member 12 isoform X1 [Homo sapiens]"	"."	"."	"XP_002734635.1 PREDICTED: uncharacterized protein LOC100373810 [Saccoglossus kowalevskii]"	0
"PladumEVm042050"	"PladumEVm042050"	1.07848926314324	2.23709606952894	9.02335463063437	0.0026655175092449	0.0355867467541107	"tr|D3Z217|D3Z217_MOUSE Thiopurine S-methyltransferase (Fragment) OS=Mus musculus OX=10090 GN=Tpmt PE=1 SV=1"	"NP_001333746.1 thiopurine S-methyltransferase isoform 1 [Homo sapiens]"	"."	"XP_035825135.1 thiopurine S-methyltransferase [Aplysia californica]"	"XP_002736535.2 PREDICTED: thiopurine S-methyltransferase-like [Saccoglossus kowalevskii]"	0
"PladumEVm009113"	"PladumEVm009113"	1.33642781565626	1.98431181185929	9.0206092528172	0.00266952398727569	0.0356266228385887	"."	"."	"."	"XP_005111868.2 endoglucanase E-4 [Aplysia californica]"	"XP_006822157.1 PREDICTED: endoglucanase-like [Saccoglossus kowalevskii]"	2
"PladumEVm061784"	"PladumEVm061784"	1.10602520144233	2.80824169836915	9.01956721143177	0.00267104629473009	0.0356333281754771	"."	"."	"."	"."	"."	8
"PladumEVm111690"	"PladumEVm111690"	-1.21010905247813	1.91579328989463	9.01471987924369	0.00267813930598212	0.0356870744514528	"."	"."	"."	"XP_035824946.1 transcription elongation regulator 1 isoform X2 [Aplysia californica]"	"."	7
"PladumEVm038021"	"PladumEVm038021"	1.64935778259894	2.06187832288311	9.01130785733791	0.00268314351946921	0.0357265402419426	"tr|A0A0J9YUG5|A0A0J9YUG5_MOUSE Methyltransferase-like 27 (Fragment) OS=Mus musculus OX=10090 GN=Mettl27 PE=1 SV=3"	"NP_689772.2 methyltransferase-like protein 27 [Homo sapiens]"	"."	"XP_012939075.1 methyltransferase-like protein 27 [Aplysia californica]"	"XP_006813683.1 PREDICTED: Williams-Beuren syndrome chromosomal region 27 protein-like [Saccoglossus kowalevskii]"	8
"PladumEVm086584"	"PladumEVm086584"	2.23191144415113	-0.360120228713213	9.01130609938664	0.00268314610019913	0.0357265402419426	"sp|Q9WVM8|AADAT_MOUSE Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Aadat PE=1 SV=1"	"NP_001273611.1 kynurenine/alpha-aminoadipate aminotransferase, mitochondrial isoform a [Homo sapiens]"	"."	"XP_035827448.1 kynurenine/alpha-aminoadipate aminotransferase, mitochondrial-like [Aplysia californica]"	"."	5
"PladumEVm091323"	"PladumEVm091323"	-1.08598270658898	2.10455457081701	9.0105507767956	0.00268425517164538	0.0357276919779497	"."	"."	"."	"."	"."	0
"PladumEVm116679"	"PladumEVm116679"	-1.28703857294281	2.85976556602343	9.00864857755519	0.00268705031206952	0.0357483554579947	"."	"."	"."	"."	"."	6
"PladumEVm076047"	"PladumEVm076047"	1.769319261427	-0.238882231192683	9.00810203099176	0.00268785396800573	0.0357483554579947	"."	"."	"."	"XP_005091449.1 arylacetamide deacetylase [Aplysia californica]"	"XP_002730564.2 PREDICTED: arylacetamide deacetylase-like [Saccoglossus kowalevskii]"	1
"PladumEVm100576"	"PladumEVm100576"	-1.02505163067244	3.54639809422274	9.00681522086705	0.00268974709007337	0.0357599214536048	"."	"."	"."	"."	"."	0
"PladumEVm028173"	"PladumEVm028173"	1.55072928810738	0.605349550181285	8.99585489711343	0.00270592660869147	0.0359084597219708	"."	"."	"."	"."	"."	0
"PladumEVm100320"	"PladumEVm100320"	-2.14126488716325	1.45235851267938	8.99576589235327	0.00270605840029621	0.0359084597219708	"."	"."	"."	"XP_005104662.1 pentraxin fusion protein [Aplysia californica]"	"XP_006823092.1 PREDICTED: uncharacterized protein LOC102808889 [Saccoglossus kowalevskii]"	1
"PladumEVm082807"	"PladumEVm082807"	2.63995579066058	0.636943932449287	8.99387758796153	0.00270885599685545	0.035931936094963	"."	"."	"."	"."	"."	5
"PladumEVm011097"	"PladumEVm011097"	-1.23372510373053	1.29919652489756	8.98382905362249	0.00272379276079263	0.0361026537440568	"."	"XP_024302798.1 uncharacterized protein LOC112267992 [Homo sapiens]"	"."	"XP_005110786.2 uncharacterized protein LOC101861399, partial [Aplysia californica]"	"XP_006820442.1 PREDICTED: uncharacterized protein LOC102805810 [Saccoglossus kowalevskii]"	0
"PladumEVm023145"	"PladumEVm023145"	1.37135976910238	2.39705379740488	8.97387739173188	0.00273866795355715	0.0362722970543341	"sp|Q9D826|SOX_MOUSE Peroxisomal sarcosine oxidase OS=Mus musculus OX=10090 GN=Pipox PE=1 SV=1"	"NP_057602.2 peroxisomal sarcosine oxidase [Homo sapiens]"	"gi|20129729|ref|NP_610228.1| CG3270 [Drosophila melanogaster]"	"XP_035829108.1 peroxisomal sarcosine oxidase [Aplysia californica]"	"XP_006813111.1 PREDICTED: peroxisomal sarcosine oxidase-like [Saccoglossus kowalevskii]"	0
"PladumEVm014071"	"PladumEVm014071"	1.02683586665366	2.53622431694527	8.97148631270294	0.00274225427973429	0.0362984814016536	"sp|Q8BS95|GPHR_MOUSE Golgi pH regulator OS=Mus musculus OX=10090 GN=Gpr89 PE=1 SV=2"	"XP_006711555.1 Golgi pH regulator A isoform X1 [Homo sapiens]"	"gi|221330277|ref|NP_611016.2| golgi pH regulator [Drosophila melanogaster]"	"XP_012936995.1 Golgi pH regulator isoform X1 [Aplysia californica]"	"XP_006825048.1 PREDICTED: Golgi pH regulator-like [Saccoglossus kowalevskii]"	1
"PladumEVm083225"	"PladumEVm083225"	-1.31859839649989	1.42901577342812	8.97006150061696	0.00274439359066	0.0363068412207761	"."	"."	"."	"."	"."	9
"PladumEVm045074"	"PladumEVm045074"	1.0182635070205	4.49388956963939	8.95026223123426	0.00277429757871776	0.0366608105532602	"."	"."	"."	"."	"."	2
"PladumEVm079111"	"PladumEVm079111"	1.0556649588028	1.64144603212439	8.94596134639883	0.00278083707801966	0.0367333333341886	"."	"."	"."	"."	"."	2
"PladumEVm019015"	"PladumEVm019015"	1.05746152120543	1.11112153150902	8.94501887561969	0.00278227219531488	0.0367384006924061	"sp|Q9D665|D42E1_MOUSE Short-chain dehydrogenase/reductase family 42E member 1 OS=Mus musculus OX=10090 GN=Sdr42e1 PE=1 SV=1"	"XP_024306261.1 short-chain dehydrogenase/reductase family 42E member 1 isoform X2 [Homo sapiens]"	"gi|21355349|ref|NP_648957.1| CG7724 [Drosophila melanogaster]"	"XP_012939563.1 short-chain dehydrogenase/reductase family 42E member 1 isoform X2 [Aplysia californica]"	"XP_002738028.1 PREDICTED: sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating-like [Saccoglossus kowalevskii]"	0
"PladumEVm031569"	"PladumEVm031569"	-1.09928097948719	1.22344134155897	8.94397727850093	0.002783859128987	0.0367454681177471	"tr|A0A1L1SRJ4|A0A1L1SRJ4_MOUSE Tetraspanin OS=Mus musculus OX=10090 GN=Tspan3 PE=1 SV=1"	"NP_005715.1 tetraspanin-3 isoform 1 [Homo sapiens]"	"gi|17648083|ref|NP_523985.1| tetraspanin 66E, isoform A [Drosophila melanogaster]"	"XP_005093635.1 CD82 antigen [Aplysia californica]"	"XP_002735925.1 PREDICTED: tetraspanin-18-like [Saccoglossus kowalevskii]"	4
"PladumEVm129282"	"PladumEVm129282"	-1.52131719668854	0.821695803393873	8.93832272511694	0.00279249022231214	0.0368454742739289	"."	"."	"."	"."	"."	7
"PladumEVm057217"	"PladumEVm057217"	3.78042688116324	1.3262043284184	8.933972087034	0.00279914951671101	0.0368915446866715	"."	"."	"."	"XP_035827898.1 uncharacterized protein LOC101849487 [Aplysia californica]"	"XP_006820826.1 PREDICTED: sterol 24-C-methyltransferase-like [Saccoglossus kowalevskii]"	11
"PladumEVm039504"	"PladumEVm039504"	1.32641279823991	1.35954858980199	8.92914832832278	0.00280655184689236	0.0369751564775913	"."	"."	"."	"."	"."	0
"PladumEVm116105"	"PladumEVm116105"	-1.23796389447385	1.08489021029793	8.91854719846481	0.00282288980826142	0.0371343926998666	"."	"."	"."	"."	"."	5
"PladumEVm057839"	"PladumEVm057839"	-1.27733203392799	2.64000061331675	8.9095508998345	0.00283683022397035	0.0372787977082481	"."	"."	"."	"."	"."	0
"PladumEVm044349"	"PladumEVm044349"	1.99904771195212	0.826239803403078	8.90939776494334	0.00283706812176169	0.0372787977082481	"sp|Q921H8|THIKA_MOUSE 3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1"	"XP_011531952.1 3-ketoacyl-CoA thiolase, peroxisomal isoform X2 [Homo sapiens]"	"gi|24655093|ref|NP_612094.2| CG9149 [Drosophila melanogaster]"	"XP_005096572.1 3-ketoacyl-CoA thiolase B, peroxisomal [Aplysia californica]"	"XP_002742159.1 PREDICTED: 3-ketoacyl-CoA thiolase A, peroxisomal-like [Saccoglossus kowalevskii]"	0
"PladumEVm136688"	"PladumEVm136688"	-3.11102014899366	-0.194332032227656	8.90665414666115	0.00284133381677676	0.0373202481814162	"."	"."	"."	"."	"."	0
"PladumEVm071593"	"PladumEVm071593"	-1.65271650616802	1.47626578751475	8.90599540342517	0.0028423589802441	0.0373202481814162	"."	"."	"."	"."	"XP_006814977.1 PREDICTED: rho GTPase-activating protein 7-like [Saccoglossus kowalevskii]"	0
"PladumEVm056284"	"PladumEVm056284"	-1.39303703175407	0.082667451105994	8.90380410025065	0.0028457718807812	0.03735102319407	"."	"."	"."	"."	"."	7
"PladumEVm107872"	"PladumEVm107872"	-1.64052116958557	0.497792889679891	8.90016796205867	0.00285144426136436	0.0374114198452157	"."	"."	"."	"."	"."	0
"PladumEVm019434"	"PladumEVm019434"	1.22278349538279	2.38691189810208	8.89404360902679	0.00286102423130389	0.0374948708242785	"sp|Q9JLB4|CUBN_MOUSE Cubilin OS=Mus musculus OX=10090 GN=Cubn PE=1 SV=3"	"."	"gi|221329796|ref|NP_727348.2| cubilin ortholog [Drosophila melanogaster]"	"XP_035828124.1 cubilin, partial [Aplysia californica]"	"."	8
"PladumEVm063073"	"PladumEVm063073"	1.04269502133373	4.0128633463292	8.89228755081125	0.00286377715665059	0.0375034983318516	"sp|Q78S06|SYS1_MOUSE Protein SYS1 homolog OS=Mus musculus OX=10090 GN=Sys1 PE=2 SV=1"	"NP_291020.1 protein SYS1 homolog isoform a [Homo sapiens]"	"gi|21355303|ref|NP_649809.1| uncharacterized protein Dmel_CG11753, isoform A [Drosophila melanogaster]"	"XP_005105588.1 protein SYS1 homolog [Aplysia californica]"	"XP_002742438.1 PREDICTED: protein SYS1 homolog isoform X1 [Saccoglossus kowalevskii]"	6
"PladumEVm009951"	"PladumEVm009951"	-1.40391991181387	1.08510612776164	8.88591451461053	0.00287379061275367	0.0376057566363298	"."	"."	"."	"XP_005110786.2 uncharacterized protein LOC101861399, partial [Aplysia californica]"	"XP_006820442.1 PREDICTED: uncharacterized protein LOC102805810 [Saccoglossus kowalevskii]"	7
"PladumEVm007991"	"PladumEVm007991"	-2.03318511888741	-0.357257194304685	8.87306139955988	0.00289409402967448	0.0378180942606036	"."	"."	"."	"XP_035827903.1 uncharacterized protein LOC118478424 [Aplysia californica]"	"."	0
"PladumEVm018768"	"PladumEVm018768"	-1.27381581282265	1.12091717344691	8.86864636506685	0.00290110180419755	0.0378921853969563	"."	"."	"."	"."	"XP_006817045.1 PREDICTED: uncharacterized protein LOC102802346 [Saccoglossus kowalevskii]"	0
"PladumEVm013143"	"PladumEVm013143"	1.69633437088025	-0.0911451715674843	8.85781221944634	0.00291837145779795	0.0380466344641801	"tr|D3Z742|D3Z742_MOUSE Protein MB21D2 OS=Mus musculus OX=10090 GN=Mb21d2 PE=1 SV=1"	"NP_848591.2 protein MB21D2 [Homo sapiens]"	"."	"."	"XP_002731347.1 PREDICTED: uncharacterized protein LOC100377009 [Saccoglossus kowalevskii]"	0
"PladumEVm011275"	"PladumEVm011275"	1.44920012386533	2.98662341751753	8.8290804761798	0.00296467732454905	0.0385352905663763	"sp|Q9CXI3|MOXD1_MOUSE DBH-like monooxygenase protein 1 OS=Mus musculus OX=10090 GN=Moxd1 PE=1 SV=1"	"NP_056344.2 DBH-like monooxygenase protein 1 precursor [Homo sapiens]"	"gi|281366611|ref|NP_730711.3| olf413, isoform B [Drosophila melanogaster]"	"XP_005093372.2 DBH-like monooxygenase protein 1 [Aplysia californica]"	"XP_002734974.1 PREDICTED: DBH-like monooxygenase protein 1 homolog [Saccoglossus kowalevskii]"	8
